config,run,last_step,asymptotic_return,peak_return
Config 1,SAC_1,923777,-4.393929518905341,25.787860870361328
Config 1,SAC_2,853421,13.701528882980346,19.5241756439209
Config 1,SAC_3,207106,,5.550854206085205
Config 1,SAC_4,923777,5.861725898349986,22.11372184753418
Config 1,SAC_5,923777,-5.956234079949996,25.787860870361328
Config 2,SAC_1,901710,659.5036217322717,1147.700927734375
Config 2,SAC_2,928270,771.8220410616892,1254.2811279296875
Config 2,SAC_3,950287,1200.0166117350261,1673.263916015625
Config 2,SAC_4,950287,1150.5100945366753,1673.263916015625
Config 2,SAC_5,950287,603.4455261230469,1238.8656005859375
Config 3,SAC_1,1060450,2877.3183942522323,4083.7822265625
Config 3,SAC_2,1102468,4336.268385667067,4743.3779296875
Config 3,SAC_3,1068629,2863.286666870117,4060.433837890625
Config 3,SAC_4,1102468,4367.14267202524,4743.3779296875
Config 3,SAC_5,1102468,2363.743671123798,3897.581787109375
Config 4,SAC_1,1054075,2327.975816514757,3084.2314453125
Config 4,SAC_2,1046276,2322.4215671705165,2689.335205078125
Config 4,SAC_3,1053812,2770.772365993924,3418.84521484375
Config 4,SAC_4,1054075,2341.234225802951,2620.14404296875
Config 4,SAC_5,1054075,2608.202433268229,3418.84521484375
